Spotlight,2015,8.0,Biography,Tom McCarthy,https://www.imdb.com/title/tt1895587/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_214
title,year,rating,genero,diretor,url
The Terminator,1984,8.0,Action,James Cameron,https://www.imdb.com/title/tt0088247/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_216
title,year,rating,genero,diretor,url
Platoon,1986,8.0,Drama,Oliver Stone,https://www.imdb.com/title/tt0091763/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_212
title,year,rating,genero,diretor,url
Ratatouille,2007,8.0,Animation,Brad Bird,https://www.imdb.com/title/tt0382932/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_213
title,year,rating,genero,diretor,url
Rocky,1976,8.0,Drama,John G. Avildsen,https://www.imdb.com/title/tt0075148/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_211
title,year,rating,genero,diretor,url
Ford v Ferrari,2019,8.0,Action,James Mangold,https://www.imdb.com/title/tt1950186/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_209
title,year,rating,genero,diretor,url
Hotel Rwanda,2004,8.0,Biography,Terry George,https://www.imdb.com/title/tt0395169/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_210
title,year,rating,genero,diretor,url
Tokyo Story,1953,8.1,Drama,Yasujirô Ozu,https://www.imdb.com/title/tt0046438/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_207
title,year,rating,genero,diretor,url
The Passion of Joan of Arc,1928,8.1,Biography,Carl Theodor Dreyer,https://www.imdb.com/title/tt0019254/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=J2QZREJYRFS5S5TT6MW1&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_208
title,year,rating,genero,diretor,url
